id,umisid,paymentid,feetype,offering
1338,NULL,79730,Foundation Fee,NULL
1339,NULL,79813,Foundation Fee,NULL
1340,NULL,79825,Foundation Fee,NULL
1341,NULL,79850,Foundation Fee,NULL
1342,NULL,79875,Foundation Fee,NULL
1343,NULL,79888,Foundation Fee,NULL
1344,NULL,79889,Foundation Fee,NULL
1345,NULL,79890,Foundation Fee,NULL
1346,NULL,79905,Foundation Fee,NULL
1347,NULL,79915,Foundation Fee,NULL
1348,NULL,79976,Foundation Fee,NULL
1349,NULL,80027,Foundation Fee,NULL
1350,NULL,80057,Foundation Fee,NULL
1351,NULL,80124,Foundation Fee,NULL
1352,NULL,80127,Foundation Fee,NULL
1353,NULL,80198,Foundation Fee,NULL
1354,NULL,80199,Foundation Fee,NULL
1355,NULL,80251,Foundation Fee,NULL
1356,NULL,80256,Foundation Fee,NULL
1357,NULL,80272,Foundation Fee,NULL
1358,NULL,80278,Foundation Fee,NULL
1359,NULL,80399,Foundation Fee,NULL
1360,NULL,80404,Foundation Fee,NULL
1361,NULL,80406,Foundation Fee,NULL
1362,NULL,80407,Foundation Fee,NULL
1363,NULL,80408,Foundation Fee,NULL
1364,NULL,80409,Foundation Fee,NULL
1365,NULL,80424,Foundation Fee,NULL
1366,NULL,80440,Foundation Fee,NULL
1367,NULL,80522,Foundation Fee,NULL
1368,NULL,80656,Foundation Fee,NULL
1369,NULL,80710,Foundation Fee,NULL
1370,NULL,80835,Foundation Fee,NULL
1371,NULL,80973,Foundation Fee,NULL
1372,NULL,81128,Foundation Fee,NULL
1373,NULL,81343,Foundation Fee,NULL
1374,NULL,82045,Foundation Fee,NULL
1375,NULL,82137,Foundation Fee,NULL
1376,NULL,82154,Foundation Fee,NULL
1377,NULL,82171,Foundation Fee,NULL
1378,NULL,82298,Foundation Fee,NULL
1379,NULL,82553,Foundation Fee,NULL
1380,NULL,83645,Foundation Fee,NULL
1381,NULL,83646,Foundation Fee,NULL
1382,NULL,84085,Foundation Fee,NULL
1383,NULL,84124,Foundation Fee,NULL
1384,NULL,84516,Foundation Fee,NULL
1385,NULL,84632,Foundation Fee,NULL
1386,NULL,84682,Foundation Fee,NULL
1387,NULL,84723,Foundation Fee,NULL
1388,NULL,84974,Foundation Fee,NULL
1389,NULL,85054,Foundation Fee,NULL
1390,NULL,85093,Foundation Fee,NULL
1391,NULL,85415,Foundation Fee,NULL
1392,NULL,85512,Foundation Fee,NULL
1393,NULL,85519,Foundation Fee,NULL
1394,NULL,85565,Foundation Fee,NULL
1395,NULL,85729,Foundation Fee,NULL
1396,NULL,85759,Foundation Fee,NULL
1397,NULL,86062,Foundation Fee,NULL
1398,NULL,86086,Foundation Fee,NULL
1399,NULL,86228,Foundation Fee,NULL
1400,NULL,86308,Foundation Fee,NULL
1401,NULL,86714,Foundation Fee,NULL
1402,NULL,86722,Foundation Fee,NULL
1403,NULL,86789,Foundation Fee,NULL
1404,NULL,86905,Foundation Fee,NULL
1405,NULL,86941,Foundation Fee,NULL
1406,NULL,86986,Foundation Fee,NULL
1407,NULL,87110,Foundation Fee,NULL
1408,NULL,88216,Foundation Fee,NULL
1409,NULL,88624,Foundation Fee,NULL
1410,NULL,88768,Foundation Fee,NULL
1411,NULL,88938,Foundation Fee,NULL
1412,NULL,89237,Foundation Fee,NULL
1413,NULL,89310,Foundation Fee,NULL
1414,NULL,89354,Foundation Fee,NULL
1415,NULL,89369,Foundation Fee,NULL
1416,NULL,89406,Foundation Fee,NULL
1417,NULL,89583,Foundation Fee,NULL
1418,NULL,89651,Foundation Fee,NULL
1419,NULL,89755,Foundation Fee,NULL
1420,NULL,89758,Foundation Fee,NULL
1421,NULL,89759,Foundation Fee,NULL
1422,NULL,89813,Foundation Fee,NULL
1423,NULL,89827,Foundation Fee,NULL
1424,NULL,89847,Foundation Fee,NULL
1425,NULL,89934,Foundation Fee,NULL
1426,NULL,89936,Foundation Fee,NULL
1427,NULL,89942,Foundation Fee,NULL
1428,NULL,89952,Foundation Fee,NULL
1429,NULL,90065,Foundation Fee,NULL
1430,NULL,90075,Foundation Fee,NULL
1431,NULL,90104,Foundation Fee,NULL
1432,NULL,90172,Foundation Fee,NULL
1433,NULL,90310,Foundation Fee,NULL
1434,NULL,90434,Foundation Fee,NULL
1435,NULL,90437,Foundation Fee,NULL
1436,NULL,90438,Foundation Fee,NULL
1437,NULL,90468,Foundation Fee,NULL
1438,NULL,90473,Foundation Fee,NULL
1439,NULL,90500,Foundation Fee,NULL
1440,NULL,90501,Foundation Fee,NULL
1441,NULL,90503,Foundation Fee,NULL
1442,NULL,90522,Foundation Fee,NULL
1443,NULL,90526,Foundation Fee,NULL
1444,NULL,90529,Foundation Fee,NULL
1445,NULL,90530,Foundation Fee,NULL
1446,NULL,90553,Foundation Fee,NULL
1447,NULL,90557,Foundation Fee,NULL
1448,NULL,90560,Foundation Fee,NULL
1449,NULL,90564,Foundation Fee,NULL
1450,NULL,90565,Foundation Fee,NULL
1451,NULL,90566,Foundation Fee,NULL
1452,NULL,90567,Foundation Fee,NULL
1453,NULL,90570,Foundation Fee,NULL
1454,NULL,90571,Foundation Fee,NULL
1455,NULL,90572,Foundation Fee,NULL
1456,NULL,90580,Foundation Fee,NULL
1457,NULL,90594,Foundation Fee,NULL
1458,NULL,90595,Foundation Fee,NULL
1459,NULL,90597,Foundation Fee,NULL
1460,NULL,90600,Foundation Fee,NULL
1461,NULL,90614,Foundation Fee,NULL
1462,NULL,90619,Foundation Fee,NULL
1463,NULL,90620,Foundation Fee,NULL
1464,NULL,90621,Foundation Fee,NULL
1465,NULL,90622,Foundation Fee,NULL
1466,NULL,90627,Foundation Fee,NULL
1467,NULL,90628,Foundation Fee,NULL
1468,NULL,90630,Foundation Fee,NULL
1469,NULL,90632,Foundation Fee,NULL
1470,NULL,90634,Foundation Fee,NULL
1471,NULL,90638,Foundation Fee,NULL
1472,NULL,90645,Foundation Fee,NULL
1473,NULL,90650,Foundation Fee,NULL
1474,NULL,90655,Foundation Fee,NULL
1475,NULL,90663,Foundation Fee,NULL
1476,NULL,90675,Foundation Fee,NULL
1477,NULL,90695,Foundation Fee,NULL
1478,NULL,90698,Foundation Fee,NULL
1479,NULL,90699,Foundation Fee,NULL
1480,NULL,90700,Foundation Fee,NULL
1481,NULL,90708,Foundation Fee,NULL
1482,NULL,90709,Foundation Fee,NULL
1483,NULL,90711,Foundation Fee,NULL
1484,NULL,90726,Foundation Fee,NULL
1485,NULL,90727,Foundation Fee,NULL
1486,NULL,90737,Foundation Fee,NULL
1487,NULL,90738,Foundation Fee,NULL
1488,NULL,90742,Foundation Fee,NULL
1489,NULL,90743,Foundation Fee,NULL
1490,NULL,90745,Foundation Fee,NULL
1491,NULL,90746,Foundation Fee,NULL
1492,NULL,90748,Foundation Fee,NULL
1493,NULL,90752,Foundation Fee,NULL
1494,NULL,90753,Foundation Fee,NULL
1495,NULL,90757,Foundation Fee,NULL
1496,NULL,90758,Foundation Fee,NULL
1497,NULL,90759,Foundation Fee,NULL
1498,NULL,90778,Foundation Fee,NULL
1499,NULL,90786,Foundation Fee,NULL
1500,NULL,90797,Foundation Fee,NULL
1501,NULL,90798,Foundation Fee,NULL
1502,NULL,90799,Foundation Fee,NULL
1503,NULL,90812,Foundation Fee,NULL
1504,NULL,90832,Foundation Fee,NULL
1505,NULL,90837,Foundation Fee,NULL
1506,NULL,90860,Foundation Fee,NULL
1507,NULL,90899,Foundation Fee,NULL
1508,NULL,90924,Foundation Fee,NULL
1509,NULL,91060,Foundation Fee,NULL
1510,NULL,91100,Foundation Fee,NULL
1511,NULL,91101,Foundation Fee,NULL
1512,NULL,91103,Foundation Fee,NULL
1513,NULL,91194,Foundation Fee,NULL
